Document,entertainer,achievement,mentor,unity,smiley,merit,seeker,esteem,wealth,proficiency,bravery,lovable,dynamo,thinker,special,charm,carefree,charitable,witty,traveler,enthusiastic,ambition,partner,sportsmanship,safe,excited,cleverness,champ,sophistication,smart,friend,romantic,heir,spirited,idealist,volunteer,respectful,hopeful,allure,progress,gentle,legend,dreamer,companion,excellence,affectionate,wellness,admired,healthy,humorous,energetic,attractive,spectacular,talented,unique,satisfied,value,devoted,expert,pleased,hugger,tolerance,learner,buff,easygoing,comfortable,fun,capable,honest,athlete,blissful,happy,graceful,zest,lucky,winner,wise,spontaneity,helper,adventurer,jolly,useful,peaceful,appeal,academic,visionary,optimist,creative,productive,hostess,mercy,enjoyable,commitment,skilled,confident,openness,radiant,asset,healer,vibrant
heir,0.12,0.15,0.06,0.17,0.17,0.2,0.06,0.15,0.24,0.08,0.13,0.22,-0.01,0.17,0.05,0.33,0.16,0.11,0.24,0.02,0,0.25,0.09,0.02,0.13,0.18,0.18,0.06,-0.02,0.03,0.12,0.25,1,0.12,0.09,0.03,0.21,0.14,0.13,0.03,0.21,0.22,0,0.2,0.1,0.24,0,0.25,0.03,0.1,0.13,0.12,0.08,0.11,0.03,0.18,0.08,0.33,0.11,0.29,-0.01,0.03,0.01,0.03,0.22,0.1,0,0.18,0.23,-0.01,0.11,0.17,0.14,0.02,0.12,0.1,0.19,-0.03,0.04,0.18,0.15,0.04,0.14,0.05,0.05,0.12,-0.04,0.01,0.01,0.16,0.17,0,0.15,0.02,0.08,0.05,0.02,0.03,0.07,0.09
spirited,-0.02,0.08,0.09,0.08,0.07,0.11,0.15,0.09,0.08,0.02,0.18,0.17,0.1,0.03,0.07,0.24,0.15,0.21,0.17,0.16,0.05,0.15,0.1,0.06,0.12,0.23,0.12,0.07,-0.01,0.04,0.11,0.21,0.12,1,0.18,0.25,0.12,0.31,0.07,0.24,0.22,0.12,0.07,0.27,0.11,0.14,-0.01,0.24,0.01,0.12,0.15,0.11,0.13,0.15,0.08,0.16,0.03,0.35,0.25,0.21,0.05,0.03,0.07,0.13,0.33,0.2,0,0.18,0.11,0.1,0.16,0.09,0.21,0.22,0.1,0.09,0.12,0.02,0.12,0.13,0.03,0.02,0.16,0.08,0.19,0.14,0.07,0.12,0.04,0.15,0.17,-0.01,0.12,0.12,0.12,0.01,0.03,0.02,-0.01,0.11
idealist,-0.03,0.13,0.01,0.12,0.08,0.18,0.08,-0.02,0.04,-0.02,0.27,0.1,0.03,0.07,0.01,0.05,0.11,0.13,0.2,-0.04,0,0.1,0,0.11,0.04,0,0.01,0.07,0.07,0.13,-0.02,0.08,0.09,0.18,1,0.24,0.07,0.14,-0.04,0.11,0.04,0.08,0.05,0.03,0.11,0.01,0.01,0.21,0,0.01,0.07,0.08,0.1,0.14,0.02,0.05,-0.03,0.14,0.1,0.04,-0.03,0.03,-0.01,0.05,0.09,0.05,0.03,0.04,0.15,0.03,0.07,0.01,0.05,0.08,0.04,0.07,0.06,0.03,-0.02,0.09,0.09,0.02,0.11,0.05,0.1,0.08,0.07,0.07,0.04,0.1,0.08,-0.05,0.23,0.1,0.09,0,0.03,-0.01,0.02,0.08
volunteer,0.01,0.13,0.05,0.09,0.04,0.12,0.2,0.05,0.01,0.06,0.32,0.05,0.08,0.02,0.26,0.11,0.05,0.1,0.05,0.07,0.09,0.19,0.06,0.19,0.21,0.19,0.01,0.06,0.07,0.12,0.13,0.05,0.03,0.25,0.24,1,0.12,0.05,0.05,0.13,0.1,0.03,0.04,0.05,0.15,0.07,-0.05,0.11,0.04,0.08,0.11,0.13,0.12,0.19,0.13,0.26,0.07,0.22,0.25,0.16,0.02,0.01,0.05,0.07,0.01,0.13,0.14,0.15,0.2,0.07,0.02,0.17,0.08,0,0.1,0.11,0.07,0.01,0.22,0.01,0.08,0.05,0.19,0.11,0.21,-0.01,0.03,0.17,0.05,0.17,0.08,0.18,0.15,0.12,0.28,0.01,0,-0.01,0,0.06
respectful,0.09,0.06,0.04,0.03,0.22,0.12,0.11,0.04,0.14,0.06,0.12,0.3,0.04,0.12,0.11,0.38,0.08,0.16,0.15,0.15,0.07,0.18,0.1,0.17,0.1,0.18,0.16,0.12,0.05,0.04,0.13,0.22,0.21,0.12,0.07,0.12,1,0.06,0.17,0.04,0.37,0.11,-0.03,0.22,0.05,0.26,0,0.28,0.02,0.12,0.11,0.15,0.08,0.11,0.05,0.19,0.1,0.22,0.05,0.32,0.09,-0.03,0.04,0.14,0.2,0.18,0.06,0.15,0.28,0.03,0.21,0.21,0.3,0.18,0.14,0,0.13,0.03,0.16,0.03,0.28,0.12,0.15,0.02,0.07,0.08,0.07,0.03,0.04,0.2,0.18,0.09,0.08,0.03,0.14,0,0.09,0.03,0.02,0.19
hopeful,0,0.12,0.18,0.08,0.07,0.13,0.19,0.14,0.19,0.07,0.1,0.21,0,0.09,0.07,0.11,0.06,0.25,0.07,0.15,0.04,0.17,0.08,-0.01,0.16,0.18,0.16,0.06,-0.01,0.13,0.23,0.14,0.14,0.31,0.14,0.05,0.06,1,0.09,0.2,0.22,0.15,0.11,0.31,0.13,0.1,0.03,0.19,0.04,0.17,0.09,0.12,0.15,0.17,0.07,0.2,0.11,0.25,0.21,0.25,0,0.05,0.08,0.03,0.08,0.2,0.01,0.11,0.26,0.15,0.12,0.16,0.13,0.14,0.21,0.18,0.28,0.01,0.04,0.18,0.09,0.06,0.14,0.08,0.1,0.07,0.15,0.06,0.03,0.12,0.39,-0.02,0.21,0.08,0.13,0.16,0.01,0.02,0.16,0.08
allure,0.05,-0.02,0.18,0.03,0.01,0,-0.07,0.23,-0.05,0.07,-0.02,0.19,0,0.13,0.11,0.14,-0.03,0.13,0,0.05,0.02,0.06,0.12,0,0.01,0.02,-0.05,0.13,-0.1,-0.06,0.14,0.08,0.13,0.07,-0.04,0.05,0.17,0.09,1,-0.08,0.17,0.02,-0.07,0.17,-0.03,0.22,-0.06,-0.01,0.01,0.08,0.02,0.09,-0.03,0.05,0.05,0.12,-0.04,0.18,0.02,0.13,0.1,0.01,0.1,0,0.09,0.05,-0.02,0.02,0.08,0.04,0.15,0.16,0.05,0.07,0.04,0,0.05,-0.11,0.02,-0.06,0.1,0.04,0.1,0.08,-0.01,0.16,-0.07,0.06,-0.02,0.12,0.34,0.09,0.18,-0.01,0.02,0.12,0.05,-0.02,0.05,0.13
progress,0.1,0.33,0.11,0.13,0.08,0.2,0.05,0.18,0.33,0.15,0.2,0.12,0.04,0.15,0.19,0.2,0.05,0.17,0.15,0.12,0.08,0.23,0.11,0,0.15,0.14,0.13,0.02,0.01,0.11,0.09,0.21,0.03,0.24,0.11,0.13,0.04,0.2,-0.08,1,0.12,0.09,0.19,0.21,0.26,0.07,0.17,0.25,0.15,0.14,0.25,0.16,0.18,0.24,0.28,0.31,0.15,0.39,0.27,0.22,-0.01,0.03,0.27,-0.02,0.16,0.25,0.05,0.3,0.18,0.05,0.12,0.06,0.19,0.12,0.09,0.18,0.25,0.27,0.07,0.08,0.06,0.2,0.23,0.1,0.28,0.16,0.09,0.34,0.27,0.08,0.13,0.15,0.21,0.23,0.16,0.18,-0.02,0.02,0.09,0.08
gentle,0.1,0.06,0.15,0.02,0.14,0.17,0.06,0.15,0.12,0.16,0.18,0.3,0,0.12,0.11,0.43,0.17,0.15,0.13,0.13,0.06,0.28,0.17,0.07,0.15,0.27,0.1,0.08,0.03,0.18,0.26,0.25,0.21,0.22,0.04,0.1,0.37,0.22,0.17,0.12,1,0.06,0.05,0.42,0.09,0.47,0.03,0.32,0.06,0.11,0.15,0.11,0.09,0.1,0.09,0.28,0.04,0.27,0.18,0.38,-0.06,0.03,0.04,0.13,0.14,0.36,0.15,0.19,0.28,0.04,0.16,0.33,0.38,0.25,0.24,0.09,0.23,0,0.12,0.14,0.27,0.13,0.27,0.09,0.1,0.15,0,0.11,0.05,0.2,0.37,0.08,0.02,0.1,0.17,0.03,0.05,-0.01,0.13,0.34
legend,0.08,0.12,0.06,0.05,0.14,-0.01,0.06,0.07,0.2,0.06,0.17,0.12,0,0.07,0.2,0.05,0.09,0.04,0.06,0.13,0.01,0.2,0.05,-0.03,0.03,0.07,0.23,0.01,-0.04,0.06,0.04,0.17,0.22,0.12,0.08,0.03,0.11,0.15,0.02,0.09,0.06,1,0.13,0.1,0.14,0.02,-0.04,0.21,-0.01,0.13,0.01,0.06,0.14,0.12,0.12,0.02,0.03,0.13,0.15,0.08,-0.06,0.03,-0.01,0.07,0.06,0.02,0.01,0.08,0.17,0.1,0.01,0.06,0.06,0.01,0.13,0.09,0.16,-0.06,0.08,0.29,0.01,0.07,0.16,0.02,0.08,0.11,0.07,0.07,0.03,0.04,0.04,0.01,0.09,0.18,0.05,0.07,0.06,-0.01,0.05,0.01
dreamer,0.04,0.18,0.1,0,-0.07,0.08,0.13,0.1,0.18,0.04,0.14,0.05,0,0.16,0.01,0.11,0.04,-0.02,0.03,0.11,0.02,0.13,0.1,-0.05,0.07,0.1,0.08,0.02,0.05,0.08,0.04,0.11,0,0.07,0.05,0.04,-0.03,0.11,-0.07,0.19,0.05,0.13,1,0.02,0.09,0.08,-0.02,0.14,0.01,0.1,0.17,0.09,0.09,0.07,0.08,0.11,0.08,0.08,0.18,0.13,-0.05,0.04,0.14,0.02,0.09,0.04,0.08,0.15,0.12,0.06,0,0.11,0.02,0.1,0.19,0.04,0.13,0.09,0.06,0.17,0.12,0.1,0.13,0.08,0.08,0.11,0.06,0.26,0.06,-0.07,0.04,0.03,0.03,0.11,0.02,0.09,0.02,0.04,0.05,0.08
companion,0.03,0.09,0.12,0,0.15,0.14,0.02,0.17,0.1,0.11,0.15,0.35,0.02,0.09,0.09,0.4,0.07,0.19,0.17,0.25,0.1,0.35,0.16,0.02,0.11,0.15,0.14,-0.04,-0.04,0.16,0.38,0.35,0.2,0.27,0.03,0.05,0.22,0.31,0.17,0.21,0.42,0.1,0.02,1,0.14,0.43,0,0.26,0,0.31,0.27,0.16,0.15,0.19,0.09,0.36,0.04,0.35,0.31,0.34,-0.01,0.03,0,0.2,0.09,0.27,0.09,0.22,0.27,0.04,0.19,0.19,0.25,0.41,0.21,0,0.16,0,0.14,0.16,0.23,0.11,0.15,0.12,0.13,0.13,0.06,0.08,0.06,0.22,0.3,0.12,0.07,0.08,0.11,0.05,0.04,0,0.21,0.27
excellence,0.04,0.28,0.15,0.09,0.01,0.19,0.05,0.11,0.17,0.24,0.18,0.1,0.05,0.19,0.16,0.19,0.03,0.12,0.27,0.05,0.12,0.25,0.03,0.04,0.12,0.05,0.25,0.02,0.12,0.09,0.14,0.26,0.1,0.11,0.11,0.15,0.05,0.13,-0.03,0.26,0.09,0.14,0.09,0.14,1,0.04,0.14,0.24,0.06,0.31,0.14,0.18,0.15,0.22,0.22,0.24,0.13,0.24,0.3,0.14,0.03,0.03,0.19,0.05,0.13,0.15,0.04,0.26,0.27,0.2,0.13,0.09,0.17,0.01,0.06,0.16,0.21,0.03,0.04,0.09,0.08,0.1,0.04,0.22,0.38,0.07,0.09,0.16,0.1,0.11,0.17,0.13,0.17,0.14,0.19,0.19,0.03,0.03,0.04,0.05
affectionate,0.12,0.08,0.09,0,0.11,0.12,-0.06,0.22,0.03,0.06,0.08,0.29,-0.02,0.1,0.04,0.3,0.07,0.14,0.16,0.13,0.05,0.21,0.15,0.12,0,0.15,0.11,0.06,0,0.17,0.26,0.26,0.24,0.14,0.01,0.07,0.26,0.1,0.22,0.07,0.47,0.02,0.08,0.43,0.04,1,-0.02,0.23,0.01,0.19,0.19,0.16,0.08,0.13,0.11,0.33,0,0.3,0.16,0.32,0.01,0.05,-0.04,0.09,0.18,0.2,0.06,0.2,0.19,0.03,0.14,0.28,0.2,0.15,0.16,0.07,0.12,-0.02,0.08,0.03,0.18,0.1,0.14,0.09,0.08,0.04,-0.02,0.09,0.02,0.14,0.25,0.18,0.08,0.04,0.05,0.05,0.01,0,0.01,0.19
wellness,-0.05,0,0.03,-0.01,0.03,-0.04,-0.02,0.13,0.01,0.04,-0.02,-0.06,-0.02,-0.01,0.03,0.02,-0.01,0.03,0,-0.01,0,0.01,-0.02,-0.04,0.18,0.04,0,-0.03,0.03,-0.03,0.03,0.06,0,-0.01,0.01,-0.05,0,0.03,-0.06,0.17,0.03,-0.04,-0.02,0,0.14,-0.02,1,0.01,0.69,0.01,-0.01,0.14,0.03,-0.05,0.02,0.09,0.07,-0.04,0.06,0.03,-0.04,0.05,0.04,0.03,-0.01,0.14,0.08,0.19,0.02,0.08,0.01,0.07,0.02,0.03,-0.01,0.06,0.16,0.16,-0.06,0.03,0.11,0.01,-0.04,0.02,0.05,0,0.01,0.06,0.13,0.03,-0.01,0.15,-0.03,0.02,0.16,-0.03,-0.01,0.02,-0.01,0.01
admired,0.16,0.22,0,0.05,0.09,0.16,0.06,0.17,0.27,0.13,0.22,0.25,0.01,0.12,0.14,0.38,0.21,0.19,0.3,0.16,0.04,0.3,0.17,0.14,0.06,0.27,0.2,0.09,0.07,0.19,0.21,0.46,0.25,0.24,0.21,0.11,0.28,0.19,-0.01,0.25,0.32,0.21,0.14,0.26,0.24,0.23,0.01,1,0.03,0.15,0.27,0.25,0.17,0.3,0.18,0.24,0.02,0.28,0.24,0.36,0.03,0.04,0.03,0.16,0.26,0.27,0.14,0.2,0.3,0.18,0.13,0.29,0.38,0.2,0.21,0.14,0.25,0.18,0.12,0.15,0.3,0.14,0.25,0.07,0.12,0.25,-0.01,0.18,0.09,0.27,0.17,0.1,0.08,0.21,0.13,0.11,0.07,0.01,0,0.21
healthy,0.03,0.03,0.06,0,0.01,-0.03,-0.06,0.17,-0.01,-0.01,-0.01,0.01,0,-0.01,0.19,0.08,-0.02,0.02,0.04,0.06,-0.01,0.06,0.03,-0.03,0.35,0.05,-0.04,0.02,0.02,0.04,0.09,0.06,0.03,0.01,0,0.04,0.02,0.04,0.01,0.15,0.06,-0.01,0.01,0,0.06,0.01,0.69,0.03,1,-0.01,0.05,0.19,-0.01,-0.01,0.07,0.13,0.05,0,0.1,0.05,-0.06,0.06,0.02,0.02,0,0.19,0.14,0.17,0.04,0.08,0.03,0.15,0.07,0,0.05,0.05,0.18,0.02,0.04,0,0.03,0.08,0.03,0.05,0.05,-0.04,-0.01,0.1,0.06,0.02,0.06,0.17,0.01,0.02,0.19,0.04,0.01,0.01,-0.04,0.02
humorous,0.03,0.25,0.14,0.13,0.11,0.09,-0.01,0.05,0.04,0.16,0.09,0.22,0.04,0.18,0.13,0.15,0.09,0.05,0.31,0.11,0.05,0.22,0.12,0.04,0.06,0.07,0.35,-0.1,0.14,0.03,0.22,0.39,0.1,0.12,0.01,0.08,0.12,0.17,0.08,0.14,0.11,0.13,0.1,0.31,0.31,0.19,0.01,0.15,-0.01,1,0.12,0.13,0.11,0.2,0.13,0.27,0.05,0.26,0.27,0.15,0.04,0.03,0.03,0.2,0.06,0.17,0.11,0.23,0.27,0.12,0.09,0.1,0.11,0.05,0.07,0.09,0.09,0.01,0.08,0.03,0.14,0.08,0.08,0.22,0.26,0.08,0.03,0.18,0.03,0.1,0.15,0.26,0.11,0.04,0.12,0.08,-0.01,0.02,0.03,0.19
energetic,0.15,0.26,-0.02,0.02,0.12,0.29,0.1,0.1,0.2,0.2,0.01,0.07,-0.02,0.16,0.09,0.24,0.14,0.09,0.15,0.08,0.05,0.25,0.19,0.1,0,0.07,0.1,-0.03,0.02,0.1,0.13,0.3,0.13,0.15,0.07,0.11,0.11,0.09,0.02,0.25,0.15,0.01,0.17,0.27,0.14,0.19,-0.01,0.27,0.05,0.12,1,0.17,0.07,0.17,0.11,0.25,0.1,0.3,0.25,0.14,-0.03,0.09,0.18,0.07,0.13,0.17,0.03,0.25,0.18,0.07,0.19,0.05,0.14,0.12,0.05,0.11,0.05,0.06,0.13,0.04,0.13,0.09,0.09,0.05,0.24,0.14,0.02,0.21,0.23,0.03,0.08,0.15,0.08,0.18,0.14,0.06,0.02,0.07,-0.01,0.12
attractive,0.08,0.18,0.24,0.13,0.08,0.14,0.07,0.39,0.16,0.16,0.07,0.16,0.03,0.05,0.27,0.19,-0.01,0.18,0.16,0.09,0.12,0.17,0.13,0.08,0.06,0.15,0.11,0.01,0.14,0.16,0.24,0.23,0.12,0.11,0.08,0.13,0.15,0.12,0.09,0.16,0.11,0.06,0.09,0.16,0.18,0.16,0.14,0.25,0.19,0.13,0.17,1,0.13,0.17,0.39,0.36,0.2,0.14,0.32,0.24,0.05,0.06,0.15,0.16,0.03,0.38,0.16,0.27,0.28,0.15,0.17,0.22,0.16,0.13,0.11,0.07,0.17,0.16,0.11,0.1,0.12,0.29,0.09,0.22,0.2,0.04,-0.01,0.26,0.19,0.28,0.08,0.3,0.25,0.15,0.25,0.21,0.05,0.06,-0.01,0.2
spectacular,0.06,0.27,0.08,0.06,0.13,0.04,0.07,0.1,0.11,0.14,0.12,0.12,0.16,0.01,0.2,0.16,0.05,0.04,0.03,0.11,0.08,0.18,0.02,0.04,0.11,0.15,0.14,0.22,0.1,0.03,0.08,0.02,0.08,0.13,0.1,0.12,0.08,0.15,-0.03,0.18,0.09,0.14,0.09,0.15,0.15,0.08,0.03,0.17,-0.01,0.11,0.07,0.13,1,0.17,0.23,0.05,0.03,0.08,0.21,0.09,0.09,0.02,0.02,0.09,-0.01,0.09,0.07,0.24,0.09,0.37,0.09,0.04,0.19,0.07,0.14,0.28,0.01,-0.03,0.03,0.05,0.05,0.06,0.1,0.12,0.17,0.17,0.13,0.06,0.02,0.09,0.04,0.15,0.24,0.06,0.23,0.05,0.04,0.02,-0.05,0.04
talented,0.15,0.37,0.14,0.06,0.05,0.11,0.09,0.2,0.15,0.14,0.16,0.29,0.02,0.09,0.16,0.14,0.13,0.09,0.16,0.03,0.09,0.4,0.12,0.09,0.02,0.2,0.14,0.2,-0.07,0.14,0.19,0.38,0.11,0.15,0.14,0.19,0.11,0.17,0.05,0.24,0.1,0.12,0.07,0.19,0.22,0.13,-0.05,0.3,-0.01,0.2,0.17,0.17,0.17,1,0.29,0.23,-0.03,0.34,0.24,0.2,0.04,0.03,0.27,0.11,0.01,0.15,0.18,0.15,0.21,0.33,0.08,0.23,0.25,0.04,0.16,0.28,0.06,0.02,0.23,-0.02,0.07,0.08,0.09,0.08,0.47,0.12,0.06,0.34,0.15,0.07,0.04,0.2,0.33,0.13,0.17,0.21,0.02,-0.02,-0.01,0.1
unique,0.15,0.23,0.23,0.14,0.03,0.12,0.05,0.38,0.18,0.12,0.08,0.11,0,0.06,0.31,0.11,0.04,0.12,0.08,0.13,0.05,0.22,0.12,-0.02,0.04,0.1,0.12,0.03,0.03,0.12,0.13,0.24,0.03,0.08,0.02,0.13,0.05,0.07,0.05,0.28,0.09,0.12,0.08,0.09,0.22,0.11,0.02,0.18,0.07,0.13,0.11,0.39,0.23,0.29,1,0.22,0.15,0.2,0.22,0.11,0.02,0.07,0.12,0.03,0.06,0.28,0.11,0.37,0.16,0.16,0.18,0.16,0.22,0.09,0.1,0.13,0.08,0.11,-0.01,0.06,0.05,0.21,0.14,0.16,0.26,0.1,-0.05,0.34,0.25,0.07,0.06,0.23,0.3,0.14,0.23,0.32,0.06,0,-0.06,0.07
satisfied,0.18,0.22,0.21,0.1,0.18,0.22,0.04,0.4,0.19,0.19,0.19,0.23,0.04,0.19,0.12,0.3,0.18,0.19,0.3,0.2,0.12,0.37,0.16,0.08,0.2,0.27,0.12,0.02,0.08,0.19,0.28,0.31,0.18,0.16,0.05,0.26,0.19,0.2,0.12,0.31,0.28,0.02,0.11,0.36,0.24,0.33,0.09,0.24,0.13,0.27,0.25,0.36,0.05,0.23,0.22,1,0.19,0.34,0.25,0.46,0.05,0.07,0.12,0.15,0.19,0.43,0.15,0.36,0.41,0.06,0.29,0.39,0.14,0.12,0.16,0.08,0.34,0.05,0.14,0.03,0.25,0.24,0.28,0.21,0.27,0.2,-0.04,0.31,0.19,0.17,0.27,0.37,0.25,0.16,0.38,0.23,0.03,0.01,0.13,0.16
value,0.11,0.12,0.06,0.08,0.08,0.06,0.03,0.1,0.3,0.11,0.01,0.01,0,0.05,0.12,0.07,0.02,0.07,0.02,0.03,0.04,0.02,0.18,0.03,0.08,0.06,0.07,0.03,0.05,0,0.07,0.01,0.08,0.03,-0.03,0.07,0.1,0.11,-0.04,0.15,0.04,0.03,0.08,0.04,0.13,0,0.07,0.02,0.05,0.05,0.1,0.2,0.03,-0.03,0.15,0.19,1,0.04,0.08,0.04,0.03,0,0.09,0.07,0.06,0.09,0.07,0.24,0.15,0,0.04,0.05,0.04,0,0.06,0.02,0.07,0.07,0.04,0.06,0.06,0.2,0.06,0.07,0.05,0.07,-0.05,0.02,0.2,0.02,-0.01,0.09,0.18,0.07,0.07,0.14,0.04,0.23,0.04,-0.02
devoted,0.1,0.31,0.08,0.16,0.2,0.28,0.04,0.19,0.21,0.28,0.2,0.28,0.03,0.23,0.19,0.36,0.14,0.32,0.29,0.06,0.07,0.36,0.07,0.08,0.13,0.19,0.13,0.13,0.08,0.14,0.18,0.4,0.33,0.35,0.14,0.22,0.22,0.25,0.18,0.39,0.27,0.13,0.08,0.35,0.24,0.3,-0.04,0.28,0,0.26,0.3,0.14,0.08,0.34,0.2,0.34,0.04,1,0.35,0.28,0.03,0.07,0.2,0.1,0.25,0.25,0.03,0.26,0.27,0.1,0.19,0.19,0.22,0.13,0.11,0.17,0.23,0.07,0.17,0.12,0.16,0.19,0.23,0.12,0.38,0.21,0.04,0.24,0.09,0.13,0.32,0.1,0.17,0.16,0.19,0.12,0.06,0.01,0.06,0.14
expert,0.07,0.28,0.16,0.02,0.16,0.21,0.14,0.15,0.14,0.17,0.08,0.17,0.01,0.23,0.31,0.23,0.12,0.2,0.23,0.16,0.14,0.31,0.19,0.12,0.13,0.18,0.16,0.07,0.02,0.27,0.2,0.21,0.11,0.25,0.1,0.25,0.05,0.21,0.02,0.27,0.18,0.15,0.18,0.31,0.3,0.16,0.06,0.24,0.1,0.27,0.25,0.32,0.21,0.24,0.22,0.25,0.08,0.35,1,0.25,0,0.04,0.2,0.1,0.05,0.28,0.12,0.27,0.41,0.27,0.07,0.11,0.22,0.09,0.27,0.22,0.29,0.05,0.25,0.25,0.14,0.28,0.17,0.21,0.36,0.08,0.14,0.29,0.05,0.13,0.16,0.21,0.18,0.22,0.3,0.12,-0.02,0.04,0.06,0.17
pleased,0.07,0.09,0.15,0.06,0.08,0.15,0.07,0.22,0.17,0.12,0.15,0.31,-0.01,0.1,0.21,0.4,0.23,0.17,0.23,0.24,0.09,0.24,0.17,0.12,0.16,0.43,0.2,0.08,0.04,0.35,0.33,0.22,0.29,0.21,0.04,0.16,0.32,0.25,0.13,0.22,0.38,0.08,0.13,0.34,0.14,0.32,0.03,0.36,0.05,0.15,0.14,0.24,0.09,0.2,0.11,0.46,0.04,0.28,0.25,1,0.09,0.04,0.11,0.13,0.22,0.36,0.21,0.23,0.37,0.07,0.16,0.53,0.3,0.17,0.3,0.06,0.35,0.06,0.27,0.15,0.4,0.18,0.3,0.05,0.1,0.08,0.09,0.12,0.08,0.26,0.31,0.2,0.08,0.13,0.2,0.11,0.05,0.01,0.12,0.19
hugger,-0.04,0.04,0.02,0,0.07,-0.04,-0.01,0.07,-0.01,-0.04,0.01,0.02,-0.02,0.03,0.02,0,-0.02,0.01,0.07,0.08,-0.01,0.01,-0.03,-0.02,0.13,0.09,0.06,0.1,0.02,0.1,0.08,0.08,-0.01,0.05,-0.03,0.02,0.09,0,0.1,-0.01,-0.06,-0.06,-0.05,-0.01,0.03,0.01,-0.04,0.03,-0.06,0.04,-0.03,0.05,0.09,0.04,0.02,0.05,0.03,0.03,0,0.09,1,0.1,0.05,-0.03,0.05,0.08,0.01,0,0.03,0.04,0.05,0.06,-0.01,-0.08,0.08,0,-0.02,-0.01,0.17,-0.06,0.09,0,0.02,-0.03,0.03,0.01,0.08,-0.06,0,0.08,-0.02,0.02,-0.03,0,-0.03,0.01,0.03,0.06,-0.01,-0.03
tolerance,-0.02,0.05,0.07,0.02,0,-0.02,0.01,0.09,0.01,0.03,-0.02,0.05,-0.04,0,0.02,0.06,0.05,-0.02,0.01,0.1,-0.02,0.16,0.08,0,0.05,0.08,0.02,0,0,0.02,0.06,0.01,0.03,0.03,0.03,0.01,-0.03,0.05,0.01,0.03,0.03,0.03,0.04,0.03,0.03,0.05,0.05,0.04,0.06,0.03,0.09,0.06,0.02,0.03,0.07,0.07,0,0.07,0.04,0.04,0.1,1,0.01,0.03,0.12,0.09,0,0.1,0.03,0.04,0,0.04,0.03,-0.03,0.04,0,0.05,0.04,0.04,0.03,0.02,0.04,0.04,0.01,0.06,0.01,-0.02,0.06,0.08,-0.02,0.03,0.08,0.06,0.01,0.09,0.05,-0.03,-0.01,-0.03,0.05
learner,0.04,0.14,0.16,-0.01,0.02,0.2,0.12,0.1,0.02,0.26,0.07,-0.01,-0.01,0.06,0.18,0.01,0,0.03,0.02,0.01,0.06,0.11,-0.03,0,0.19,0.09,0.05,-0.05,0.04,0.13,-0.01,0.01,0.01,0.07,-0.01,0.05,0.04,0.08,0.1,0.27,0.04,-0.01,0.14,0,0.19,-0.04,0.04,0.03,0.02,0.03,0.18,0.15,0.02,0.27,0.12,0.12,0.09,0.2,0.2,0.11,0.05,0.01,1,0.02,0,0.09,0.03,0.14,0.04,0.12,0.09,0.01,0.11,0.02,0.08,0.08,0.2,0.06,0.2,-0.01,0.06,0.17,-0.03,0.04,0.43,0.1,0.06,0.35,0.04,-0.07,0.08,0.13,0.12,0.13,0.08,0.1,0.03,0.02,0.13,0.06
buff,-0.06,-0.01,0.05,0.17,0.15,0.09,0.08,0,0.04,0.05,0.03,0.04,-0.03,-0.05,0.18,0.15,0.06,0.1,0.06,0.1,0.06,0.11,0.16,0.08,0.09,0.15,0.06,0.13,-0.02,0.07,0.14,0.16,0.03,0.13,0.05,0.07,0.14,0.03,0,-0.02,0.13,0.07,0.02,0.2,0.05,0.09,0.03,0.16,0.02,0.2,0.07,0.16,0.09,0.11,0.03,0.15,0.07,0.1,0.1,0.13,-0.03,0.03,0.02,1,0.06,0.15,0.09,0.15,0.06,0.05,0.01,0.08,0.16,0.13,0.09,0.04,0.04,-0.14,0.07,0.11,0.14,0.22,0.11,0.05,0.05,0.1,-0.06,0.02,-0.02,0.12,0.07,0.08,-0.02,0.06,0.08,-0.02,-0.02,0.03,0,0.08
easygoing,0.04,0.14,0.03,0.08,0.08,0.14,0.05,0.09,0.22,0.08,0.11,0.09,0,0.05,0.03,0.3,0.25,0.14,0.2,0.15,-0.02,0.1,0.14,0.1,0.06,0.05,0.09,0.04,-0.03,0.01,0.1,0.17,0.22,0.33,0.09,0.01,0.2,0.08,0.09,0.16,0.14,0.06,0.09,0.09,0.13,0.18,-0.01,0.26,0,0.06,0.13,0.03,-0.01,0.01,0.06,0.19,0.06,0.25,0.05,0.22,0.05,0.12,0,0.06,1,0.1,0.06,0.13,0.14,-0.07,0.1,0.1,0.1,0.08,0.07,-0.01,0.02,0.05,0.06,0.08,0.18,0,0.2,0.01,0.07,0.14,-0.01,0.08,0.07,0.07,0.19,0.07,0.09,0.06,0.04,0.05,0.01,0,0.02,0.07
